"id.date","price","price.All.X..rcv.glmnet","price.All.X..rcv.glmnet.err","price.All.X..rcv.glmnet.err.abs","price.All.X..rcv.glmnet.is.acc"
"1000102#20140916T000000",280000,301413.683757253,21413.683757253,21413.683757253,FALSE
"1000102#20150422T000000",300000,300990.380665243,990.380665242672,990.380665242672,FALSE
"100300280#20141020T000000",355000,189358.755203448,-165641.244796552,165641.244796552,FALSE
"100300500#20141121T000000",333000,228899.588420697,-104100.411579303,104100.411579303,FALSE
"1003400155#20140811T000000",233000,158052.89772819,-74947.1022718102,74947.1022718102,FALSE
"1003600056#20141024T000000",239000,215958.021480203,-23041.9785197973,23041.9785197973,FALSE
"1005000036#20140613T000000",285000,571725.968820997,286725.968820997,286725.968820997,FALSE
"1005000062#20140801T000000",299000,222701.720726781,-76298.2792732194,76298.2792732194,FALSE
"1021049022#20140520T000000",415000,285826.188603066,-129173.811396934,129173.811396934,FALSE
"1022059032#20140812T000000",401500,701303.774358571,299803.774358571,299803.774358571,FALSE
"1022059123#20141226T000000",250000,416329.535534315,166329.535534315,166329.535534315,FALSE
"1022069050#20150227T000000",207000,110041.623674072,-96958.3763259277,96958.3763259277,FALSE
"1023059186#20150126T000000",252000,317808.973799922,65808.9737999216,65808.9737999216,FALSE
"1023059246#20140514T000000",437000,589582.189103954,152582.189103954,152582.189103954,FALSE
"1023059324#20140623T000000",235000,147030.005466394,-87969.9945336059,87969.9945336059,FALSE
"1024069205#20150114T000000",1175000,1191134.47846714,16134.4784671441,16134.4784671441,FALSE
"1025049266#20140930T000000",555000,365067.373336367,-189932.626663633,189932.626663633,FALSE
"1026069061#20150129T000000",682000,1005761.66375248,323761.663752481,323761.663752481,FALSE
"1026069134#20140825T000000",619000,802106.651391156,183106.651391156,183106.651391156,FALSE
"1036000080#20141009T000000",525000,599085.694168054,74085.6941680536,74085.6941680536,FALSE
"1036100130#20140808T000000",442000,673143.466467746,231143.466467746,231143.466467746,FALSE
"1036400200#20150429T000000",697000,517793.964692302,-179206.035307698,179206.035307698,FALSE
"1038000040#20140605T000000",499950,547748.323686004,47798.3236860037,47798.3236860037,FALSE
"104510230#20141119T000000",252000,271450.376702607,19450.3767026067,19450.3767026067,FALSE
"104530110#20141008T000000",268000,331244.874175787,63244.874175787,63244.874175787,FALSE
"104550540#20150120T000000",259950,204304.432488047,-55645.5675119534,55645.5675119534,FALSE
"104550740#20141201T000000",299000,537763.561277047,238763.561277047,238763.561277047,FALSE
"104550750#20140728T000000",241000,319680.93410752,78680.9341075197,78680.9341075197,FALSE
"1049010300#20150427T000000",435000,435343.486591466,343.486591465771,343.486591465771,FALSE
"1061500510#20141015T000000",350000,504137.975116931,154137.975116931,154137.975116931,FALSE
"1061500630#20150205T000000",359900,549218.8839048,189318.8839048,189318.8839048,FALSE
"1062100100#20140626T000000",424000,629275.006987661,205275.006987661,205275.006987661,FALSE
