id.date,price
114101516#20140528T000000,550951.943880975
9297300055#20150124T000000,550953.276675447
1202000200#20141103T000000,550954.609469919
8562750320#20141110T000000,550955.942264391
7589200193#20141110T000000,550957.275058863
2078500320#20140620T000000,550958.607853334
7766200013#20140811T000000,550959.940647806
9478500640#20140819T000000,550961.273442278
9558200045#20140828T000000,550962.60623675
8820901275#20140610T000000,550963.939031222
3444100400#20150316T000000,550965.271825694
7437100340#20141222T000000,550966.604620166
2791500270#20140522T000000,550967.937414638
3422049190#20150330T000000,550969.27020911
3134100116#20140827T000000,550970.603003582
8961960160#20141028T000000,550971.935798054
3275860240#20140618T000000,550973.268592526
2767603505#20140507T000000,550974.601386998
1777500060#20140708T000000,550975.934181469
6140100875#20150415T000000,550977.266975941
809001525#20140625T000000,550978.599770413
537000445#20150331T000000,550979.932564885
84000105#20140507T000000,550981.265359357
2617300160#20140812T000000,550982.598153829
1836980160#20150324T000000,550983.930948301
4330600435#20150316T000000,550985.263742773
1762600070#20150116T000000,550986.596537245
7234600798#20150210T000000,550987.929331717
3830630310#20140725T000000,550989.262126189
2222059065#20141112T000000,550990.594920661
3211100860#20150303T000000,550991.927715133
3456000310#20140804T000000,550993.260509605
9526600140#20140919T000000,550994.593304077
257000138#20150115T000000,550995.926098548
7138000260#20140605T000000,550997.25889302
8682281200#20150309T000000,550998.591687492
7972000200#20140529T000000,550999.924481964
1762600320#20140610T000000,551001.257276436
2025069065#20140929T000000,551002.590070908
3832710960#20140923T000000,551003.92286538
3325069129#20141216T000000,551005.255659852
2123039032#20141027T000000,551006.588454324
1745100140#20141017T000000,551007.921248796
1722059235#20140703T000000,551009.254043268
6874200960#20150227T000000,551010.58683774
7424700045#20150513T000000,551011.919632212
7202360350#20140630T000000,551013.252426684
5634500392#20150410T000000,551014.585221155
1115450240#20141022T000000,551015.918015627
9297300045#20140709T000000,551017.250810099
5104530560#20150401T000000,551018.583604571
4330600350#20150115T000000,551019.916399043
4139480200#20140618T000000,551021.249193515
4139480200#20141209T000000,551022.581987987
9521101455#20140723T000000,551023.914782459
2597650240#20141023T000000,551025.247576931
3353400435#20140721T000000,551026.580371403
7520000520#20140905T000000,551027.913165875
1959700550#20140905T000000,551029.245960347
9550201550#20150408T000000,551030.578754819
191100045#20140703T000000,551031.911549291
200350070#20140602T000000,551033.244343763
405100295#20140826T000000,551034.577138234
6414100671#20140909T000000,551035.909932706
7852110140#20140718T000000,551037.242727178
808000070#20141021T000000,551038.57552165
7325600160#20140604T000000,551039.908316122
2757000030#20140922T000000,551041.241110594
3363900111#20141203T000000,551042.573905066
2201500030#20141006T000000,551043.906699538
7855801090#20140917T000000,551045.23949401
1118500030#20141001T000000,551046.572288482
3291800710#20141120T000000,551047.905082954
2231500030#20141001T000000,551049.237877426
9423400140#20140609T000000,551050.570671897
8651600160#20141111T000000,551051.903466369
1223039290#20140905T000000,551053.236260841
8857320070#20140917T000000,551054.569055313
4047200695#20140618T000000,551055.901849785
1653500070#20140512T000000,551057.234644257
7375300160#20150309T000000,551058.567438729
6021501685#20150422T000000,551059.900233201
8856950240#20140618T000000,551061.233027673
9385200055#20140912T000000,551062.565822145
1678400105#20150212T000000,551063.898616617
3426059070#20140909T000000,551065.231411089
2697100140#20150105T000000,551066.564205561
625049299#20141203T000000,551067.897000033
9808650060#20150225T000000,551069.229794505
2944010240#20140908T000000,551070.562588976
3454000060#20140722T000000,551071.895383448
